id,verification_bundle,verification_priority,title,provider,provider_type,scholarship_type,primary_link,link_status,data_status,description,eligible_levels,eligible_regions,eligible_cities,residency_required,eligible_school_types,eligible_courses_psced,eligible_courses_specific,citizenship_required,max_income_threshold,min_gwa_normalized,min_age,max_age,priority_groups,members_only,benefit_tuition,benefit_allowance_monthly,benefit_books,benefit_miscellaneous,benefit_total_value,required_documents,has_qualifying_exam,has_interview,has_essay_requirement,has_return_service,application_open_date,application_deadline,academic_year_target,cycle_type,last_open_date,last_close_date,application_status,last_verified_at,verification_source,is_active
1,ched_unifast,high,CHED Merit Scholarship Program,Commission on Higher Education (CHED),Government,Merit-and-Need,https://ched.gov.ph/merit-scholarship,broken,broken_link,Merit-based scholarship for academically excellent students with financial needs.,College,,,false,Public|Private,STEM|Business|Engineering|Education|Agriculture,,,400000,90.0,16,25,4Ps/Listahanan|Underprivileged,false,true,3000,true,,80000,ITR|BIRTH_CERT|GOOD_MORAL|TOR,true,true,true,false,2026-03-01,2026-06-30,2026-2027,annual,2025-03-01,2025-06-30,expected_reopen,2026-07-08T14:45:16.659048,csv_import,true
2,dost,high,DOST-SEI Undergraduate Scholarship,Department of Science and Technology - SEI,Government,Merit-and-Need,https://ugs.science-scholarships.ph,broken,broken_link,"STEM scholarship for Science, Technology, Engineering, and Mathematics courses.",College,,,false,Public|Private,STEM|Engineering,BS Computer Science|BS Information Technology|BS Mathematics|BS Physics|BS Chemistry,,400000,92.0,17,22,Underprivileged,false,true,7000,true,,120000,ITR|BIRTH_CERT|GOOD_MORAL|TOR,true,true,true,true,2026-02-01,2026-04-15,2026-2027,annual,2025-02-01,2025-04-15,expected_reopen,2026-07-08T14:45:16.659048,csv_import,true
3,dost,high,DOST-SEI Graduate Scholarship,Department of Science and Technology - SEI,Government,Merit-and-Need,https://science-scholarships.ph,broken,broken_link,Graduate scholarship for master's and doctoral programs in STEM.,Graduate,,,false,Public|Private,STEM|Engineering,,,500000,88.0,22,45,,false,true,15000,true,,200000,ITR|BIRTH_CERT|TOR|ESSAY,true,true,true,true,2026-03-01,2026-05-31,2026-2027,semester,2025-09-01,2025-11-30,expected_reopen,2026-07-08T14:45:16.659048,csv_import,true
4,tesda,normal,TESDA Scholarship Program,Technical Education and Skills Development Authority,Government,Need,https://tesda.gov.ph,ok,,Technical-vocational education and training scholarships nationwide.,TVET,,,false,Public|Private,STEM|Agriculture|Engineering,,,500000,75.0,15,60,4Ps/Listahanan|Underprivileged,false,true,2000,true,,50000,BIRTH_CERT|GOOD_MORAL|FORM_137,false,true,false,false,2026-01-01,2026-12-31,2026-2027,annual,2025-01-01,2025-12-31,open,2026-07-08T14:45:16.659048,csv_import,true
5,ched_unifast,high,CHED-Tulong Dulong Program,Commission on Higher Education,Government,Need,https://ched.gov.ph,broken,needs_review,Financial assistance for students from low-income families.,College,,,false,Public|Private,STEM|Business|Engineering|Education|Agriculture,,,400000,80.0,16,30,4Ps/Listahanan|Underprivileged,false,true,2500,true,,60000,ITR|BIRTH_CERT|GOOD_MORAL|4PS_CERT,false,false,false,false,2026-04-01,2026-07-31,2026-2027,annual,2025-04-01,2025-07-31,needs_verification,2026-07-08T14:45:16.659048,csv_import,true
6,ched_unifast,normal,UniFAST Tertiary Education Subsidy,Unified Student Financial Assistance System,Government,Need,https://unifast.gov.ph,ok,,Tertiary education subsidy for eligible Filipino students.,College,,,false,Public|Private,STEM|Business|Engineering|Education|Agriculture,,,,75.0,16,35,4Ps/Listahanan,false,true,2000,false,,40000,ITR|BIRTH_CERT|4PS_CERT,false,false,false,false,2026-05-01,2026-08-31,2026-2027,,,,open,2026-07-08T14:45:16.659048,csv_import,true
7,gsis_sss,high,GSIS Scholarship Program,Government Service Insurance System,Government,Affiliation,https://gsis.gov.ph,broken,broken_link,Scholarship for children of GSIS members.,College,,,false,Public|Private,STEM|Business|Engineering|Education,,,500000,85.0,16,25,GSIS Dependent,true,true,4000,true,,90000,ITR|BIRTH_CERT|GOOD_MORAL|TOR,true,true,false,false,2026-02-01,2026-04-30,2026-2027,,,,previous_cycle,2026-07-08T14:45:16.659048,csv_import,true
8,gsis_sss,high,SSS Educational Loan Program,Social Security System,Government,Affiliation,https://sss.gov.ph,broken,broken_link,"Study now, pay later program for SSS members and dependents.",College,,,false,Public|Private,STEM|Business|Engineering|Education,,,500000,80.0,16,30,SSS Dependent,true,true,0,false,,80000,ITR|BIRTH_CERT|GOOD_MORAL|TOR,false,true,false,false,2026-03-01,2026-06-30,2026-2027,,,,previous_cycle,2026-07-08T14:45:16.659048,csv_import,true
9,owwa_dswd_ncip,high,OWWA Education and Training Program,Overseas Workers Welfare Administration,Government,Affiliation,https://owwa.gov.ph,broken,broken_link,Scholarship for dependents of OFWs.,College,,,false,Public|Private,STEM|Business|Engineering|Education,,,500000,85.0,16,30,OFW Dependent,false,true,5000,true,,100000,ITR|BIRTH_CERT|OFW_DOCS|GOOD_MORAL,true,true,true,false,2026-02-01,2026-05-15,2026-2027,,,,previous_cycle,2026-07-08T14:45:16.659048,csv_import,true
10,sm_foundation,high,SM Foundation College Scholarship,SM Foundation,Private,Need,https://sm-foundation.org/scholarship,broken,broken_link,Educational assistance for financially challenged students with good academics.,College,,,false,Public|Private,STEM|Business|Engineering|Education,,,250000,92.0,16,28,4Ps/Listahanan|Underprivileged,false,true,5000,true,,100000,ITR|BIRTH_CERT|SKETCH_HOME|ESSAY,true,true,true,false,2026-02-01,2026-03-31,2026-2027,,,,previous_cycle,2026-07-08T14:45:16.659048,csv_import,true
