id,verification_bundle,verification_priority,title,provider,provider_type,scholarship_type,primary_link,link_status,data_status,description,eligible_levels,eligible_regions,eligible_cities,residency_required,eligible_school_types,eligible_courses_psced,eligible_courses_specific,citizenship_required,max_income_threshold,min_gwa_normalized,min_age,max_age,priority_groups,members_only,benefit_tuition,benefit_allowance_monthly,benefit_books,benefit_miscellaneous,benefit_total_value,required_documents,has_qualifying_exam,has_interview,has_essay_requirement,has_return_service,application_open_date,application_deadline,academic_year_target,cycle_type,last_open_date,last_close_date,application_status,last_verified_at,verification_source,is_active
21,lgu_ncr,high,Pasig City Scholarship Program,Pasig City LGU,LGU,Need,https://pasigcity.gov.ph,broken,broken_link,Local scholarship for Pasig City residents.,College,NCR,Pasig City,true,Public|Private,STEM|Business|Engineering|Education,,,400000,85.0,16,30,,false,true,3000,true,,70000,ITR|BIRTH_CERT|BARANGAY_CERT|GOOD_MORAL,false,true,false,false,2026-04-01,2026-06-30,2026-2027,,,,previous_cycle,2026-07-08T14:45:16.659048,csv_import,true
22,lgu_ncr,normal,Quezon City Scholarship,Quezon City LGU,LGU,Merit-and-Need,https://quezoncity.gov.ph,ok,,Scholarship for QC residents pursuing higher education.,College,NCR,Quezon City,true,Public|Private,STEM|Business|Engineering|Education,,,400000,88.0,16,35,,false,true,3500,true,,75000,ITR|BIRTH_CERT|BARANGAY_CERT|GOOD_MORAL,false,true,false,false,2026-04-01,2026-07-31,2026-2027,,,,open,2026-07-08T14:45:16.659048,csv_import,true
25,lgu_ncr,high,Pasig City Regular Academic Scholarship,Pasig City Government,LGU,Merit-and-Need,https://scholars.pasigcity.gov.ph,broken,needs_review,"The Pasig City Regular Academic Scholarship is designed for residents of Pasig City who demonstrate high academic performance and are enrolled in recognized higher education institutions. This program provides comprehensive tuition assistance and stipends to support college education for local youths. Applicants must maintain a minimum GWA of 85% or equivalent, with no grade lower than 85% in any subject. Eligibility requires presenting a valid Pasig City LGU ID or Barangay Certificate of Residency proving at least 3 years of residency, and registered voter status for parents or applicants of legal age. Application steps involve registering online via the official Pasig Scholarship portal, uploading scanned requirements, and attending an orientation once approved. Highly recurring cycle opening every first semester of the academic year. Financial need is factored via an annual family income cap of 300,000 PHP.",College,NCR,Pasig,true,Public|Private,STEM|Engineering|IT|Education|Medical|Business|Agriculture|Arts,All accredited undergraduate degrees,,300000,85.0,,,4Ps/Listahanan,false,true,1500,true,,25000,BARANGAY_CERT|BIRTH_CERT|GOOD_MORAL|TOR,true,true,false,false,2026-07-01,2026-08-15,2026-2027,annual,2025-07-05,2025-08-20,needs_verification,2026-06-30T12:30:07.235980,manual,true
26,lgu_ncr,high,Pasig City Arts and Design Scholarship,Pasig City Government,LGU,Affiliation,https://scholars.pasigcity.gov.ph,broken,needs_review,"This dedicated track supports creative individuals residing in Pasig City who pursue fields in fine arts, digital design, music, performing arts, or literature. Eligible applicants must showcase a portfolio or pass a talent audition managed by the Pasig Cultural Affairs Office. Academic requirements are set at a minimum GWA of 80%. Benefits include school fees financial aid and materials allowances. Registration is completed through the online portal, followed by an in-person portfolio review.",College|Grade 11|Grade 12,NCR,Pasig,true,Public|Private,Arts,Fine Arts|Digital Design|Music|Performing Arts,,350000,80.0,,,Artists and Creatives,false,true,1500,true,,28000,BARANGAY_CERT|BIRTH_CERT|FORM_137|ESSAY,true,true,true,false,2026-08-01,2026-09-10,2026-2027,annual,2025-08-05,2025-09-15,needs_verification,2026-06-30T12:30:09.994883,manual,true
27,lgu_ncr,normal,Taguig LANI Premier Scholarship,Taguig City Government,LGU,Merit-based,https://tcu.edu.ph/lani-scholarship,ok,active,"The Lifeline Assistance for Neighbors in Need (LANI) Premier Scholarship is Taguig City's flagship merit track for top-tier residents studying in prestigious private universities or high-cost specialized institutions (e.g., UP, DLSU, ADMU, UST, Mapua). Applicants must be registered voters of Taguig for at least 3 years and have a minimum GWA of 90% (1.50 or better) with zero failing grades. It offers substantial financial aid up to 50,000 PHP per semester to directly cover tuition fees and modern learning tools. Applications are submitted via the Taguig LANI portal or at the Taguig Civic Center scholarship desk. Highly structured and strictly recurring every semester.",College,NCR,Taguig,true,Public|Private,STEM|Engineering|IT|Education|Medical|Business|Arts,Top-tier institutional degrees,,600000,90.0,,,Top 10 Percent Graduates,false,true,3000,true,,100000,BARANGAY_CERT|BIRTH_CERT|TOR,true,true,true,false,2026-06-20,2026-07-31,2026-2027,semester,2026-01-05,2026-02-15,open,2026-06-30T12:30:23.581976,manual,true
28,lgu_ncr,normal,Taguig LANI Priority Scholarship,Taguig City Government,LGU,Merit-and-Need,https://tcu.edu.ph/lani-scholarship,ok,active,"This specific LANI track directly targets priority fields of study essential for national development and city workforce planning, including STEM, digital engineering, data analytics, special education, and specialized medical courses. Eligible applicants need a minimum GWA of 82%. Financial benefits are elevated compared to basic tracks, supplying up to 30,000 PHP per semester. Priority status is also given to low-income applicants, PWDs, and dependents of solo parents.",College,NCR,Taguig,true,Public|Private,STEM|Engineering|IT|Education|Medical,STEM and Allied Medical Courses,,350000,82.0,,,PWD|Solo Parent Dependent,false,true,2500,true,,60000,BARANGAY_CERT|BIRTH_CERT|TOR|4PS_CERT,false,true,false,false,2026-06-20,2026-07-31,2026-2027,semester,2026-01-05,2026-02-15,open,2026-06-30T12:30:25.671506,manual,true
29,lgu_ncr,normal,Taguig LANI LCU and SUC Assistance Scholarship,Taguig City Government,LGU,Merit-and-Need,https://tcu.edu.ph/lani-scholarship,ok,active,"This scholarship is specially tailored for Taguig residents who are already utilizing the Free Higher Education law at State Universities and Colleges (SUCs) or Local Colleges and Universities (LCUs) like Taguig City University (TCU) or PUP. Since tuition is free, this track converts assistance into a pure monthly cash living stipend of 1,500 PHP plus 2,000 PHP per semester for books. Requires a GWA of 80% and zero failures. Online submission occurs via the unified TCU-LANI interface.",College,NCR,Taguig,true,Public,STEM|Engineering|IT|Education|Medical|Business|Agriculture|Arts,SUC and LCU courses,,250000,80.0,,,LCU Students|SUC,false,false,1500,true,,19000,BARANGAY_CERT|TOR,false,false,false,false,2026-06-20,2026-07-31,2026-2027,semester,2026-01-05,2026-02-15,open,2026-06-30T12:30:26.941782,manual,true
31,lgu_ncr,normal,Makati City SUC and Priority Courses Scholarship,Makati City Government,LGU,Merit-and-Need,https://www.makati.gov.ph,ok,active,"This LGU track caters to Makati residents enrolled in State Universities and Colleges (outside of UMak) pursuing priority industrial fields like IT, engineering, and digital science. It grants 20,000 PHP per semester to offset learning materials, transportation, and field training expenses. It requires 5 years of residency and an overall GWA of 82% (2.25) with no grades lower than 80%. Applications are handled through the Makati Education Department at City Hall.",College,NCR,Makati,true,Public,STEM|Engineering|IT,IT and Engineering courses,,300000,82.0,,,Low to Middle Income,false,false,2000,true,,40000,BARANGAY_CERT|TOR|ITR,false,true,false,false,2026-06-01,2026-07-15,2026-2027,annual,2025-06-02,2025-07-20,open,2026-06-30T12:30:29.154570,manual,true
33,lgu_ncr,normal,Valenzuela City Dr. Pio Valenzuela Scholarship Program,Valenzuela City Government,LGU,Merit-and-Need,https://valenzuela.gov.ph/drpioscholarship,ok,active,"The Dr. Pio Valenzuela Scholarship Program is an intensive LGU merit-need initiative by the Valenzuela City Government. It targets financially challenged but academically elite student residents. Eligible individuals must have spent at least 4 consecutive years in Valenzuela City, graduated Senior High School with a GWA of 85% or higher, and hold zero grades lower than 85% in Grades 11 and 12. Crucially, the total annual household income must not exceed 120,000 PHP. The program awards a financial support grant of 30,000 PHP per year (15,000 PHP per semester) for tuition and school compliance. Portal submissions require uploading digital copies of ITR or Indigency certificates, Form 138/137, and Barangay clearance.",College,NCR,Valenzuela,true,Public|Private,STEM|Engineering|IT|Education|Medical|Business|Agriculture|Arts,All undergraduate degrees,,120000,85.0,,,Indigent Achievers,false,true,2000,true,,30000,FORM_137|BARANGAY_CERT|ITR|BIRTH_CERT,true,true,false,false,2026-06-15,2026-07-31,2026-2027,annual,2025-06-20,2025-08-05,open,2026-06-30T12:30:39.207600,manual,true
34,lgu_ncr,normal,NavotaAs Academic College Scholarship,Navotas City Government,LGU,Merit-based,https://www.navotas.gov.ph,ok,active,"The NavotaAs Academic Scholarship Program is the baseline higher-education track for residents of Navotas City. It supports incoming first-year college students who graduated in the top 25% of their Senior High School class. Eligible applicants must have parents who are registered voters of Navotas. When utilized at the Navotas Polytechnic College (NPC), it yields full tuition exemption plus 22,000 PHP per year for allowances. If the student passes into other prominent universities outside Navotas, the grant upgrades to a merit value of 262,000 PHP per year to handle high tuition. Applications are manually screened by the Navotas Scholarship Secretariat.",College,NCR,Navotas,true,Public|Private,STEM|Engineering|IT|Education|Medical|Business|Agriculture|Arts,All accredited college paths,,400000,88.0,,,Top Academic Quartile,false,true,2200,true,,262000,FORM_137|BARANGAY_CERT|BIRTH_CERT,true,true,false,false,2026-06-01,2026-07-10,2026-2027,annual,2025-06-05,2025-07-15,open,2026-06-30T12:30:41.191222,manual,true
48,lgu_ncr,high,Muntinlupa CARES Financial Assistance Program,Muntinlupa Scholarship Division,LGU,Need,https://www.muntinlupacity.gov.ph,broken,needs_review,"The Continuing Assistance for Reintegrating Students (CARES) is a equity-driven financial assistance mechanism for general college residents of Muntinlupa who are enrolled in public SUCs or local community colleges. It requires a baseline GWA of 80% (2.5) with no incomplete or failing grades. It disburses a direct financial support grant of 5,000 PHP per semester to cover transport and digital connectivity needs. Financial status is verified via Barangay Certificate of Indigency or low-income ITR. Registration occurs semestrally via the MSD localized offices.",College,NCR,Muntinlupa,true,Public,STEM|Engineering|IT|Education|Medical|Business|Agriculture|Arts,All standard courses,,200000,80.0,,,Low Income Residents,false,false,1000,false,,10000,BARANGAY_CERT|TOR|4PS_CERT,false,false,false,false,2026-06-01,2026-07-20,2026-2027,semester,2026-01-10,2026-02-25,needs_verification,2026-06-30T12:31:03.985725,manual,true
50,lgu_ncr,high,Parañaque City Tertiary Education Financial Assistance Program,Parañaque City Government,LGU,Merit-and-Need,https://www.paranaquecity.gov.ph,broken,needs_review,"The Tertiary Education Financial Assistance Program (TEFAP) is an open-access equity grant run by the Parañaque LGU for resident college students. To fit varying academic profiles, the cash stipend scales directly with academic performance: students maintaining a GWA of 88% and above receive 6,000 PHP per semester, while those with a GWA between 80% and 87% receive 4,000 PHP per semester. Requirements demand 3 years of residency and a parent's voter registration record inside Parañaque. Online registrations are queued via the local city hall portal.",College,NCR,Parañaque,true,Public|Private,STEM|Engineering|IT|Education|Medical|Business|Agriculture|Arts,All undergraduate paths,,300000,80.0,,,General College Residents,false,false,,true,,12000,BARANGAY_CERT|TOR|BIRTH_CERT,false,false,false,false,2026-07-01,2026-08-20,2026-2027,semester,2025-07-10,2025-08-25,needs_verification,2026-06-30T12:31:08.013145,manual,true
