title,provider,source,link,description,provider_type,scholarship_type,eligible_levels,eligible_regions,eligible_cities,residency_required,eligible_school_types,eligible_courses_psced,eligible_courses_specific,max_income_threshold,min_gwa_normalized,min_age,max_age,priority_groups,members_only,benefit_tuition,benefit_allowance_monthly,benefit_books,benefit_total_value,required_documents,has_qualifying_exam,has_interview,has_essay_requirement,has_return_service,application_open_date,application_deadline,academic_year_target,cycle_type,last_open_date,last_close_date,is_active,source_slug,research_notes,source_urls,dedupe_rationale
Aboitiz Future Leaders Scholarship Program,Aboitiz Foundation,gemini_research,https://aboitiz.com/aboitiz-foundation/aboitiz-future-leaders-scholarship,"Corporate scholarship for incoming sophomore students enrolled in partner state universities in engineering, data science, communications, and related fields. Covers full tuition, monthly allowance, and academic excellence incentives. Requires cumulative first-year GWA of 2.0 or better on the UP scale with no failing or incomplete grades, plus a mandatory 400-hour internship within Aboitiz Group business units.",Private,Merit-and-Need,College,,,false,Public,STEM|Engineering|IT|Business|Agriculture|Arts,,,75,,,,,true,,false,,TOR|GOOD_MORAL|ESSAY,false,true,true,false,2026-04-28,2026-06-30,2026-2027,annual,,,true,aboitiz_future_leaders_2026,application_status=open | confidence=high | link_quality=primary,https://aboitiz.com/aboitiz-foundation/aboitiz-future-leaders-scholarship|https://sikap.upd.edu.ph/posts/scholarships/128/,"Sophomore-only corporate pipeline restricted to Aboitiz partner SUCs, distinct from freshman merit programs."
Bagong Pilipinas Merit Scholarship Program (BPMSP) - Higher Education Track,Commission on Higher Education,gemini_research,https://bpms.ched.gov.ph/,National merit scholarship for incoming college freshmen under the Bagong Pilipinas framework. SUC scholars receive full tuition; private HEI scholars receive up to 45000 PHP annually for tuition and fees plus a 45000 PHP annual stipend. Requires minimum 95% SHS GWA or top-five batch ranking and combined household income up to 2000000 PHP per year.,Government,Merit-based,College,,,false,Public|Private,STEM|Agriculture|Medical|IT|Education,,2000000,95,,,Underprivileged|PWD|IP|Solo Parent Dependent,,true,,false,90000,FORM_137|TOR|ITR|BIRTH_CERT|GOOD_MORAL,false,false,false,true,2026-04-30,2026-06-30,2026-2027,annual,,,true,bpmsp_higher_education_2026,application_status=open | confidence=high | link_quality=primary,https://bpms.ched.gov.ph/,"Higher Education Track under BPMSP with 95% GWA and 2M income ceiling, separate from the TVET diploma track."
Bagong Pilipinas Merit Scholarship Program (BPMSP) - TVET Track,Technical Education and Skills Development Authority,gemini_research,https://bpms.ched.gov.ph/,TVET diploma track under the joint CHED-DepEd-TESDA Bagong Pilipinas Merit Scholarship Program. Targets priority diploma programs with minimum 90% GWA and combined household income up to 2000000 PHP. Includes mandatory return-of-service of one year in the Philippines for every year of funding.,Government,Merit-based,TVET,,,false,Public|Private,,,2000000,90,,,Underprivileged|PWD|IP|Solo Parent Dependent,,true,,false,,FORM_137|TOR|ITR|BIRTH_CERT|GOOD_MORAL,false,false,false,true,2026-04-30,2026-06-30,2026-2027,annual,,,true,bpmsp_tvet_2026,application_status=open | confidence=high | link_quality=primary,https://bpms.ched.gov.ph/,"TVET diploma track with 90% GWA threshold, distinct from the BPMSP Higher Education baccalaureate track."
GSIS Subsidy for STEM Program (GSSP),Government Service Insurance System,gemini_research,https://www.gsis.gov.ph,"New STEM-focused subsidy for children of active GSIS members and permanent total disability pensioners under 60. Supports CHED-recognized STEM degree programs for college freshmen with minimum 90% SHS GWA. Provides 15000 PHP annual subsidy per scholar, prioritizing parents in Salary Grade 15 and below.",Government,Merit-and-Need,College,,,false,Public|Private,STEM|Engineering|IT|Medical,,,90,,,PWD|IP|Solo Parent Dependent,,false,,false,15000,BIRTH_CERT|FORM_137|TOR,false,false,false,false,2026-06-30,,2026-2027,annual,,,true,gsis_gssp_2026,application_status=opening_soon | confidence=high | link_quality=primary,https://www.gsis.gov.ph/2026/01/06/gsis-to-launch-stem-scholarship-this-year/|https://www.gsis.gov.ph/tag/stem/,"STEM-restricted GSIS member-dependent subsidy launching AY 2026-2027, distinct from the flat-rate GESP grant."
CHED Merit Scholarship Program (CMSP),Commission on Higher Education,gemini_research,https://legacy.ched.gov.ph/merit-scholarship/,Legacy CHED merit program for incoming college freshmen with minimum 93% GWA and combined annual household income up to 500000 PHP. Covers tuition and fees for scholars in CHED-recognized programs nationwide. Open for AY 2026-2027 applications.,Government,Merit-based,College,,,false,Public|Private,STEM|Engineering|IT|Medical|Business|Education|Agriculture|Arts|Architecture,,500000,93,,,Underprivileged|PWD|IP|Solo Parent Dependent,,true,,false,,FORM_137|TOR|ITR|BIRTH_CERT|GOOD_MORAL,false,false,false,false,2026-06-22,2026-07-31,2026-2027,annual,,,true,ched_cmsp_2026,application_status=open | confidence=high | link_quality=primary,https://legacy.ched.gov.ph/merit-scholarship/,"Legacy CMSP with 93% GWA and 500K income cap, separate from the newer BPMSP with higher thresholds."
DOST-SEI Undergraduate Scholarships (RA 7687 / Merit),DOST-SEI,gemini_research,https://www.science-scholarships.ph/,"Premier national science scholarship for four- or five-year baccalaureate degrees in science and technology. RA 7687 targets underprivileged students; Merit track is open regardless of income. Benefits include tuition up to 40000 PHP per year, 8000 PHP monthly living allowance, and 10000 PHP annual learning materials allowance.",Government,Merit-and-Need,College,,,false,Public|Private,STEM|Engineering|IT|Medical|Agriculture,,,,,,Underprivileged,,true,8000,true,106000,FORM_137|BIRTH_CERT|GOOD_MORAL|ITR,true,true,false,true,2025-10-13,2025-11-22,2026-2027,annual,2025-10-13,2025-11-22,false,dost_sei_undergraduate_2026,application_status=recurring_unopened | confidence=high | link_quality=primary,https://www.science-scholarships.ph/|https://governmentph.com/dost-scholarship-online/,"Flagship DOST-SEI undergraduate RA 7687 and Merit combined entry, distinct from the JLSS third-year track."
DOST-SEI Junior Level Science Scholarship (JLSS),DOST-SEI,gemini_research,https://www.science-scholarships.ph/,"Scholarship for incoming third-year college students pursuing science and technology degrees. Requires strong university GWA and completion of the first two years of a four- or five-year STEM program. Provides tuition, monthly living allowance, and learning materials support similar to the undergraduate program.",Government,Merit-based,College,,,false,Public|Private,STEM|Engineering|IT|Medical|Agriculture,,,,,,,,true,8000,true,106000,TOR|BIRTH_CERT|GOOD_MORAL,true,true,false,true,2026-04-13,2026-05-15,2026-2027,annual,2026-04-13,2026-05-15,false,dost_sei_jlss_2026,application_status=recurring_unopened | confidence=high | link_quality=primary,https://www.science-scholarships.ph/|https://governmentph.com/dost-jlss-scholarship/,"JLSS targets incoming third-year STEM students only, not freshmen covered by the main DOST-SEI undergraduate program."
SM Foundation College Scholarship Program,SM Foundation,gemini_research,https://scholarship.sm-foundation.org/,Corporate scholarship for graduating Grade 12 students from public schools or private voucher completers with household income up to 250000 PHP per year and minimum 92% GWA. Covers full tuition and fees plus monthly stipend at partner schools across designated regions. Includes semestral employment and post-graduation job placement within the SM Group.,Private,Merit-and-Need,College,NCR|Region III - Central Luzon|Region IV-A - Calabarzon|Region V - Bicol|Region VI - Western Visayas|Region VII - Central Visayas|Region VIII - Eastern Visayas|Region IX - Zamboanga Peninsula|Region X - Northern Mindanao|Region XI - Davao|Region XII - Soccsksargen|Region XIII - Caraga,,false,Public|Private,STEM|Engineering|IT|Business|Education,,250000,92,,,Underprivileged,,true,,false,,FORM_137|BIRTH_CERT|ITR|GOOD_MORAL,false,true,false,false,2026-02-01,2026-02-28,2026-2027,annual,2026-02-01,2026-02-28,false,sm_foundation_college_2026,application_status=recurring_unopened | confidence=high | link_quality=primary,https://scholarship.sm-foundation.org/|https://www.sm-foundation.org/what_we_do/college-scholarship-program/,"SM Foundation freshman pipeline restricted to partner-school regions, not a nationwide open-enrollment grant."
MEXT Scholarship - Research Category,JICC / Embassy of Japan,gemini_research,https://www.ph.emb-japan.go.jp/itpr_en/00_000193.html,"Japanese Government MEXT scholarship for Filipino college graduates pursuing master's or doctoral degrees in Japan. Requires a feasible research proposal in humanities, social sciences, or natural sciences. Provides tuition, monthly stipend, regional allowance, and roundtrip airfare. Applicants must be under 35 years old.",Government,Merit-based,Graduate,,,false,,,,,,,35,,,true,,false,,TOR|BIRTH_CERT|ESSAY,false,true,true,true,2026-04-22,2026-05-29,2027-2028,annual,2026-04-22,2026-05-29,false,mext_research_2027,application_status=recurring_unopened | confidence=high | link_quality=primary,https://www.ph.emb-japan.go.jp/itpr_en/00_000193.html|https://www.ph.emb-japan.go.jp/itpr_en/11_000001_02213.html,"MEXT graduate research track for master's and doctoral study in Japan, separate from undergraduate and TVET MEXT categories."
MEXT Scholarship - Undergraduate Track,JICC / Embassy of Japan,gemini_research,https://www.ph.emb-japan.go.jp/itpr_en/00_000193.html,"Japanese Government MEXT scholarship for high school graduates pursuing undergraduate degrees in Japan. Open to applicants under 25 with strong academic records. Covers tuition, monthly stipend, and roundtrip travel for full degree study in Japan.",Government,Merit-based,College,,,false,,,,,,,25,,,true,,false,,FORM_137|BIRTH_CERT|GOOD_MORAL,false,true,true,true,2026-04-22,2026-05-29,2027-2028,annual,2026-04-22,2026-05-29,false,mext_undergraduate_2027,application_status=recurring_unopened | confidence=high | link_quality=primary,https://www.ph.emb-japan.go.jp/itpr_en/00_000193.html|https://www.ph.emb-japan.go.jp/itpr_en/11_000001_02213.html,"MEXT undergraduate degree track for high school graduates, distinct from graduate research and technical training categories."
