title,provider,source,link,description,provider_type,scholarship_type,eligible_levels,eligible_regions,eligible_cities,residency_required,eligible_school_types,eligible_courses_psced,eligible_courses_specific,max_income_threshold,min_gwa_normalized,min_age,max_age,priority_groups,members_only,benefit_tuition,benefit_allowance_monthly,benefit_books,benefit_total_value,required_documents,has_qualifying_exam,has_interview,has_essay_requirement,has_return_service,application_open_date,application_deadline,academic_year_target,cycle_type,last_open_date,last_close_date,is_active,source_slug,research_notes,source_urls,dedupe_rationale
Pasig City Sports Scholarship,Pasig City Government,gemini_research,https://scholars.pasigcity.gov.ph,"The Pasig City Sports Scholarship caters to outstanding student-athletes who have represented Pasig City or their schools in regional, national, or international athletic competitions. It aims to support athletes in balancing academic progression with rigorous athletic training. Eligibility includes verified residency in Pasig City for 3 years, a minimum GWA of 80% to ensure academic compliance, and official endorsements from the Pasig Sports Development Office. Financial aid covers partial tuition and a monthly training stipend. Renewal requires active sports participation and maintaining passing marks. Portal registrations open annually in August.",LGU,Affiliation,College|Grade 11|Grade 12,NCR,Pasig,true,Public|Private,STEM|Engineering|IT|Education|Medical|Business|Agriculture|Arts,All courses,350000,80,,,Student Athletes,,true,2000,true,30000,BARANGAY_CERT|BIRTH_CERT|FORM_137,false,true,false,false,,,2026-2027,annual,2025-08-05,2025-09-15,true,pasig_city_sports_scholarship_2026,application_status=recurring_unopened | confidence=high | link_quality=primary,https://scholars.pasigcity.gov.ph,Distinct athletic-based track with separate funding and GWA criteria from Pasig Regular.
Pasig City Out-of-School Learners Scholarship,Pasig City Government,gemini_research,https://scholars.pasigcity.gov.ph,"Designed specifically for out-of-school youths (OSYs) and adult learners in Pasig City who want to reintegrate into formal education, alternative learning systems (ALS), or technical-vocational (TVET) paths. Funded fully by the LGU, this program waives instructional fees and provides a substantial monthly allowance to cover daily transport and meal costs. Eligibility includes a minimum of 1 year of non-enrollment in school and a family income below 200,000 PHP. Applications are accepted directly through the Pasig Scholarship Office or Barangay halls.",LGU,Need,TVET|College,NCR,Pasig,true,Public|Private,STEM|Engineering|IT|Education|Medical|Business|Agriculture|Arts,ALS and TVET short courses,200000,75,,,Out of School Youth,,true,2500,true,35000,BARANGAY_CERT|BIRTH_CERT|4PS_CERT,false,true,false,false,2026-06-15,2026-07-30,2026-2027,annual,2025-06-20,2025-07-25,true,pasig_city_osl_scholarship_2026,application_status=open | confidence=high | link_quality=primary,https://scholars.pasigcity.gov.ph|https://assets.pasigcity.gov.ph,Special social welfare track for out-of-school youth reintegration.
Pasig City Sangguniang Kabataan Endorsed Scholarship,Pasig City Government,gemini_research,https://scholars.pasigcity.gov.ph,A localized financial-aid track administered in collaboration with the Barangay Sangguniang Kabataan (SK) councils of Pasig City. This scholarship targets active community youth volunteers and leaders. Eligible applicants must possess a formal endorsement from their respective Barangay SK Chairman certifying leadership and civic engagement hours. A minimum GWA of 82% is required. Benefits comprise an annual educational subsidy disbursed in two semester installments.,LGU,Affiliation,College,NCR,Pasig,true,Public|Private,STEM|Engineering|IT|Education|Medical|Business|Agriculture|Arts,All undergraduate programs,250000,82,,,Community Leaders,,false,1500,true,20000,BARANGAY_CERT|BIRTH_CERT|GOOD_MORAL,false,true,false,true,,,2026-2027,annual,2025-07-12,2025-08-25,true,pasig_city_sk_endorsed_2026,application_status=opening_soon | confidence=high | link_quality=primary,https://scholars.pasigcity.gov.ph,SK leadership affiliation-based LGU grant omitted in Round 1.
Taguig LANI Full Scholarship,Taguig City Government,gemini_research,https://tcu.edu.ph/lani-scholarship,"The LANI Full Scholarship track supports Taguig residents enrolled in private higher education institutions within or outside Metro Manila. It is designed to alleviate tuition burdens for middle-income families. Requires a minimum GWA of 85% (2.0 or better) and 3 years of verifiable city residency. Provides a flat cash assistance rate of 20,000 PHP to 25,000 PHP per semester. Renewal is contingent upon submitting semestral grade sheets confirming no failing marks. Online application processing is strictly required through the LANI desk.",LGU,Merit-and-Need,College,NCR,Taguig,true,Private,STEM|Engineering|IT|Education|Medical|Business|Agriculture|Arts,All approved degree programs,450000,85,,,Middle Income Learners,,true,2000,true,50000,BARANGAY_CERT|BIRTH_CERT|TOR|ITR,false,true,false,false,2026-06-20,2026-07-31,2026-2027,semester,2026-01-05,2026-02-15,true,taguig_lani_full_2026,application_status=open | confidence=high | link_quality=primary,https://tcu.edu.ph/lani-scholarship,Standard full-tuition LANI option for private colleges; distinct criteria.
Taguig LANI Basic Scholarship,Taguig City Government,gemini_research,https://tcu.edu.ph/lani-scholarship,"The LANI Basic Scholarship is a broad-access financial assistance grant for Taguig residents enrolled in non-priority programs across public or private institutions. It operates under a lower academic barrier, requiring only a passing GWA of 78% (3.0 or equivalent). It guarantees basic equity support, providing 10,000 PHP per semester to handle textbooks, uniform fees, and transportation costs. Verification of local voter registration is strictly checked during the mandatory manual verification phase.",LGU,Need,College,NCR,Taguig,true,Public|Private,STEM|Engineering|IT|Education|Medical|Business|Agriculture|Arts,All undergraduate degrees,300000,78,,,Low Income Families,,false,1000,true,20000,BARANGAY_CERT|BIRTH_CERT|TOR,false,false,false,false,2026-06-20,2026-07-31,2026-2027,semester,2026-01-05,2026-02-15,true,taguig_lani_basic_2026,application_status=open | confidence=high | link_quality=primary,https://tcu.edu.ph/lani-scholarship,Low-barrier mass-equity LANI track missing from the Round 1 catalog.
Taguig LANI LEAD Graduate Scholarship,Taguig City Government,gemini_research,https://tcu.edu.ph/lani-scholarship,"The Leadership and Educators Advancement and Development (LEAD) program is an advanced LANI track designed for licensed teachers, city employees, and professionals residing in Taguig who are pursuing Master's or Doctorate degrees. It funds advanced research, dissertation expenses, and postgraduate tuition up to 40,000 PHP per semester. Applicants must maintain a postgrad GWA of 2.0 (85%) and submit an approved thesis proposal. Return service involves a mandatory 1-year community or institutional service within Taguig for every year of funding.",LGU,Merit-based,Graduate,NCR,Taguig,true,Public|Private,STEM|Education|Medical|Business,Master's and Doctoral Programs,750000,85,,,Public Servants and Teachers,,true,2000,true,80000,BARANGAY_CERT|TOR|ESSAY,false,true,true,true,,,2026-2027,annual,2025-05-20,2025-06-28,false,taguig_lani_lead_grad_2026,application_status=closed_reference | confidence=high | link_quality=primary,https://tcu.edu.ph/lani-scholarship,Postgraduate LANI track with strict return service rules; completely net-new.
Makati City Premier and Specialized School Scholarship,Makati City Government,gemini_research,https://www.makati.gov.ph,"The Makati City Government Scholarship Program offers elite financial backing to top-tier Makati residents who secure admission into designated Centers of Excellence or top private universities (such as DLSU, ADMU, UST, Mapua). Applicants must provide proof of at least 5 years of continuous city residency, valid Makati LGU ID/QCitizen equivalent, and rank in the top 10% of their graduating Senior High School class. It supplies up to 80,000 PHP annually for tuition and institutional fees. Recipients must sign a contract committing to a mandatory 2-year return service within the Makati LGU or city public school system upon graduation. GWA maintenance of 88% (1.75) is strictly audited per semester.",LGU,Merit-based,College,NCR,Makati,true,Private,STEM|Engineering|IT|Education|Medical|Business,Elite institutional programs,500000,88,,,Top 10 Percent Graduates,,true,4000,true,80000,BARANGAY_CERT|BIRTH_CERT|TOR|GOOD_MORAL,true,true,false,true,2026-06-01,2026-07-15,2026-2027,annual,2025-06-02,2025-07-20,true,makati_city_premier_2026,application_status=open | confidence=high | link_quality=secondary,https://www.makati.gov.ph|https://mirror.pia.gov.ph,Elite private university track for Makati residents with a 2-year service obligation.
University of Makati Special Institutional Scholarship,University of Makati (UMak),gemini_research,https://www.umak.edu.ph,"UMak's Special Institutional Scholarship provides targeted need-and-affiliation assistance for unique sectors inside the university community, including registered PWD students, certified children of active Makati LGU employees, barangay officials, and student-artists in the UMak cultural troupe. It provides complete fee exemptions and a monthly book allowance of 1,000 PHP. Candidates must hold a GWA of 75% (passing) with no dropped or incomplete modules. Formal verification requires presenting civil service certificates or PWD IDs.",Institutional,Affiliation,College|TVET,NCR,Makati,true,Public,STEM|Engineering|IT|Education|Medical|Business|Arts,All UMak offerings,350000,75,,,PWD|LGU Dependents,,true,1000,true,15000,BARANGAY_CERT|TOR|BIRTH_CERT,false,true,false,false,,,2026-2027,semester,2025-05-15,2025-06-30,false,umak_special_scholarship_2026,application_status=closed_reference | confidence=high | link_quality=primary,https://www.umak.edu.ph/admissions/scholarships,Affiliation-based institutional grant for specific Makati employee/PWD sectors.
NavotaAs Fisherfolk Children Scholarship Track,Navotas City Government,gemini_research,https://www.navotas.gov.ph,"A sector-specific LGU track designed to extend educational equity to the children of registered municipal fisherfolk in Navotas City. Administered under the NavotaAs framework, applicants must submit a certified copy of their parent's Navotas Fisherfolk Registration ID or validation from the City Agriculture Office. Academic performance requires a standard passing GWA of 78%. It funds full college or TVET technical training at local institutes, along with a monthly sea-fare/allowance of 1,500 PHP. Highly recurring and designed to break generation poverty in maritime-coastal zones.",LGU,Need,College|TVET,NCR,Navotas,true,Public,STEM|Engineering|IT|Education|Medical|Business|Agriculture|Arts,All available courses,180000,78,,,Fisherfolk Children,,true,1500,true,20000,BARANGAY_CERT|BIRTH_CERT|TOR,false,false,false,false,2026-06-01,2026-07-10,2026-2027,annual,2025-06-05,2025-07-15,true,navotas_fisherfolk_children_2026,application_status=open | confidence=high | link_quality=secondary,https://www.navotas.gov.ph,Specialized coastal equity LGU scholarship for fisherfolk dependents.
Davao City STEP FA Category A,Davao City Government (EBSU),gemini_research,https://davaocity.gov.ph,"The Scholarship on Tertiary Education Program (STEP) Category A is the premier academic merit award administered by the Educational Benefit System Unit (EBSU) of Davao City. It targets high-achieving residents who attained an elite GWA of 93% or higher upon graduating Senior High School. It supplies a robust funding package of 25,000 PHP per semester to completely offset academic fees or serve as general living stipends. Financial standing is reviewed via the City Social Welfare and Development Office (CSWDO) indigency screening. Highly stable and recurring annually.",LGU,Merit-based,College,Region XI - Davao,Davao City,true,Public|Private,STEM|Engineering|IT|Education|Medical|Business,High priority developmental tracks,250000,93,,,Elite Mindanao Scholars,,true,3000,true,50000,FORM_137|BARANGAY_CERT|BIRTH_CERT,true,true,false,false,,,2026-2027,annual,2025-05-10,2025-06-25,false,davao_city_step_cat_a_2026,application_status=closed_reference | confidence=high | link_quality=primary,https://davaocity.gov.ph/transparency/forms-and-reports/forms/ebsu-online-application,Davao EBSU top merit tier requiring a 93% GWA baseline.
