id,verification_bundle,verification_priority,title,provider,provider_type,scholarship_type,primary_link,link_status,data_status,description,eligible_levels,eligible_regions,eligible_cities,residency_required,eligible_school_types,eligible_courses_psced,eligible_courses_specific,citizenship_required,max_income_threshold,min_gwa_normalized,min_age,max_age,priority_groups,members_only,benefit_tuition,benefit_allowance_monthly,benefit_books,benefit_miscellaneous,benefit_total_value,required_documents,has_qualifying_exam,has_interview,has_essay_requirement,has_return_service,application_open_date,application_deadline,academic_year_target,cycle_type,last_open_date,last_close_date,application_status,last_verified_at,verification_source,is_active
12,archived_reference,normal,Gokongwei Brothers Foundation Scholarship,Gokongwei Brothers Foundation,Private,Merit-and-Need,https://gokongweifoundation.org/scholarship,,expired,Engineering and technology scholarship for underprivileged students.,College,Luzon|NCR,,false,Public|Private,STEM|Engineering,,,400000,92.0,17,24,Underprivileged,false,true,5000,true,,100000,ITR|BIRTH_CERT|GOOD_MORAL|TOR|ESSAY,true,true,true,false,2026-02-01,2026-04-15,2026-2027,,,,archived,2026-07-08T14:45:16.659048,csv_import,false
30,archived_reference,normal,Taguig Lifeline Bar and Board Review Assistance,Taguig City Government,LGU,Affiliation,https://tcu.edu.ph/lani-scholarship,,expired,"A specialized, one-time financial grant for Taguig residents who have completed their undergraduate degrees in Law, Engineering, Nursing, Accountancy, or Education and are preparing for professional licensure examinations (PRC Board Exams or Supreme Court Bar Exam). Provides a lump-sum financial grant of 15,000 PHP to 30,000 PHP to pay for review center enrollments and examination fees. Requires graduation proof, a certification from an official review center, and voter verification. No GWA check is enforced post-graduation.",Graduate|College,NCR,Taguig,true,Public|Private,STEM|Engineering|Education|Medical|Business,Board or Bar review courses,,600000,,,,Board Exam Takers,false,false,,true,,30000,BARANGAY_CERT|BIRTH_CERT|TOR,false,false,false,false,2026-04-01,2026-05-30,2026-2027,rolling,2025-04-05,2025-05-28,archived,2026-06-30T12:30:28.369217,manual,false
32,archived_reference,normal,University of Makati Token Fee Exemption Program,University of Makati (UMak),Institutional,Merit-based,https://www.umak.edu.ph,,expired,"The University of Makati (UMak) Token Fee Exemption Program serves as an institutional academic scholarship that waives the remaining standard token fees for high-performing student residents of Makati. Administered by the UMak Scholarship Office, applicants must achieve a GWA of 1.75 (88%) or better during their semester and maintain a full academic load. The program converts academic excellence directly into fully zeroed tuition liabilities and offers priority enlistment. Application is processed entirely internally through the UMak student portal at the close of every grading period.",College,NCR,Makati,true,Public,STEM|Engineering|IT|Education|Medical|Business|Arts,All UMak college courses,,250000,88.0,,,UMak Internals,false,true,,false,,5000,TOR|GOOD_MORAL,false,false,false,false,2026-05-10,2026-06-25,2026-2027,semester,2025-05-15,2025-06-30,archived,2026-06-30T12:30:36.288053,manual,false
35,archived_reference,normal,Marikina City Medical Scholarship Program,Marikina City Government,LGU,Merit-and-Need,https://www.marikina.gov.ph,,expired,"The Marikina City Medical Scholarship Program is a localized government intervention to support aspiring medical doctors who reside in Marikina City. It covers full tuition and provides educational assistance up to 150,000 PHP per year for students accepted into partner Doctor of Medicine programs (including PLM, FEU-NRMF, UST, MCU, St. Luke's, Our Lady of Fatima University). Applicants must not exceed 30 years of age, must possess a clean record of good moral character, and maintain a household income below 600,000 PHP. Return service dictates that the recipient must practice medicine within the Marikina public healthcare network or city clinics for a duration matching the length of the scholarship.",Graduate,NCR,Marikina,true,Private|Public,Medical,Doctor of Medicine (MD),,600000,85.0,,30,Aspiring Physicians,false,true,4000,true,,150000,TOR|BIRTH_CERT|GOOD_MORAL|ESSAY,true,true,true,true,2026-05-01,2026-06-15,2026-2027,annual,2025-05-10,2025-06-20,archived,2026-06-30T12:30:42.275287,manual,false
36,archived_reference,normal,Cebu City College Scholarship Program,Cebu City Government,LGU,Merit-and-Need,https://www.cebucity.gov.ph,,expired,"The Cebu City College Scholarship Program (CCCSP) targets urban youth residents who graduated from public high schools located specifically within the north and south districts of Cebu City. It provides 10,000 PHP per semester for tuition if the recipient enrolls in accredited private universities, or 2,500 PHP per semester for books and uniform allowances if they enter tuition-free SUCs (like CTU or CNU). Requires a voter's certification from Cebu City and a minimum GWA of 80%. Applications are handled at the Cebu City Sports Complex scholarship secretariat.",College,Region VII - Central Visayas,Cebu City,true,Public|Private,STEM|Engineering|IT|Education|Medical|Business|Agriculture|Arts,All undergraduate programs,,350000,80.0,,,Urban Public High Graduates,false,true,,true,,20000,FORM_137|BARANGAY_CERT|BIRTH_CERT,false,true,false,false,2026-05-15,2026-06-30,2026-2027,annual,2025-05-20,2025-07-05,archived,2026-06-30T12:30:44.346999,manual,false
37,archived_reference,normal,Davao City STEP FA Category B,Davao City Government (EBSU),LGU,Merit-and-Need,https://davaocity.gov.ph,,expired,"Administered by Davao City's EBSU, the STEP Category B serves as the mid-tier merit assistance channel. It requires a baseline GWA of 88% with zero grade deficiencies. It offers a flat grant of 20,000 PHP per semester (40,000 PHP annually) to help cover tuition and computing materials at any CHED-accredited college in Region XI. Candidates must verify local voter status and clear the household income check managed by the local social services office.",College,Region XI - Davao,Davao City,true,Public|Private,STEM|Engineering|IT|Education|Medical|Business|Agriculture|Arts,All accredited college courses,,300000,88.0,,,Middle Class Achievers,false,false,2000,true,,40000,FORM_137|BARANGAY_CERT|ITR,false,true,false,false,2026-05-01,2026-06-15,2026-2027,annual,2025-05-10,2025-06-25,archived,2026-06-30T12:30:45.582214,manual,false
38,archived_reference,normal,Davao City Special Educational Assistance Program for Lumad,Davao City Government (EBSU),LGU,Need,https://davaocity.gov.ph,,expired,"The Special Educational Assistance Program (SEAP) for Lumad is a targeted indigenous equity track run by Davao City EBSU. It is exclusively reserved for college students belonging to the recognized Indigenous Cultural Communities (IPs/Lumad) within ancestral domains of Davao City (such as the Ata, Matigsalug, Maranao, and Kagan tribes). It offers a full living subsidy of 15,000 PHP per semester alongside basic tuition assistance. The academic barrier requires a standard passing mark (75% GWA). Crucially, a formal Tribal Certification from the tribal chieftain and validation from the NCIP local office are mandatory documents.",College|TVET,Region XI - Davao,Davao City,true,Public|Private,STEM|Engineering|IT|Education|Medical|Business|Agriculture|Arts,All courses,,200000,75.0,,,IP,false,false,2000,true,,30000,BARANGAY_CERT|BIRTH_CERT|TOR,false,false,false,false,2026-05-01,2026-06-15,2026-2027,annual,2025-05-10,2025-06-25,archived,2026-06-30T12:30:46.851646,manual,false
42,archived_reference,normal,Ateneo Law School Financial Aid Program,Ateneo Law School,Institutional,Merit-and-Need,https://www.ateneo.edu,,expired,"The Ateneo Law School Financial Aid Program provides tuition assistance grants ranging from 25% to 100% for students enrolled in the Juris Doctor (JD) program at the Rockwell campus. Managed by the ALS Scholarship Committee, awards are heavily based on exceptional undergraduate academic honors, high scores in the Philippine Law School Admission test, and certified financial need. Maintenance requires keeping a minimum yearly weighted average of 82 (passing) and fulfilling service hours within the ALS legal aid clinics or administrative units.",Graduate,NCR,,false,Private,Business,Juris Doctor (JD),,600000,82.0,,,Aspiring Lawyers,false,true,,false,,120000,TOR|ITR|GOOD_MORAL|ESSAY,false,true,true,false,2026-04-01,2026-05-30,2026-2027,annual,2025-04-10,2025-06-02,archived,2026-06-30T12:30:51.928689,manual,false
43,archived_reference,normal,DLSU Star Scholars Program,De La Salle University,Institutional,Merit-based,https://www.dlsu.edu.ph,,expired,"The DLSU Star Scholars Program is an elite academic recruitment track that signs the absolute top scorers of the DLSU College Admission Test (DCAT) nationwide. It waives 100% of all tuition, laboratory, and miscellaneous fees for the entire duration of the program, supplies a monthly cash living stipend of 8,000 PHP, a specialized laptop computer allowance upon entry, and guaranteed faculty mentorship for undergraduate research. Academic retention mandates a strict cumulative GWA of 3.0 out of 4.0 (90% normalized) with zero dropped courses.",College,,,false,Private,STEM|Engineering|IT|Education|Medical|Business|Arts,All undergraduate offerings,,,90.0,,,Elite DCAT Performers,false,true,8000,true,,250000,TOR|GOOD_MORAL,true,true,false,false,2026-05-01,2026-06-30,2026-2027,annual,2025-05-15,2025-07-05,archived,2026-06-30T12:30:52.997155,manual,false
44,archived_reference,normal,DLSU Archer Achievers Scholarship,De La Salle University,Institutional,Merit-based,https://www.dlsu.edu.ph,,expired,"The Archer Achievers Scholarship is automatically extended by DLSU to students who graduate as the absolute valedictorians and salutatorians of top-performing high schools accredited by the university. It automatically confers a 100% tuition waiver for the student's selected undergraduate curriculum. No separate financial files are required, but students must preserve a high semestral GWA of 2.50 out of 4.0 (83% normalized) to sustain the benefit across academic years.",College,,,false,Private,STEM|Engineering|IT|Education|Medical|Business|Arts,All undergraduate tracks,,,83.0,,,High School Valedictorians,false,true,,false,,140000,TOR|GOOD_MORAL,true,false,false,false,2026-05-01,2026-06-30,2026-2027,annual,2025-05-15,2025-07-05,archived,2026-06-30T12:30:54.121773,manual,false
