title,provider,source,link,description,provider_type,scholarship_type,eligible_levels,eligible_regions,eligible_cities,residency_required,eligible_school_types,eligible_courses_psced,eligible_courses_specific,max_income_threshold,min_gwa_normalized,min_age,max_age,priority_groups,benefit_tuition,benefit_allowance_monthly,benefit_books,benefit_total_value,required_documents,has_qualifying_exam,has_interview,has_essay_requirement,has_return_service,application_open_date,application_deadline,academic_year_target,cycle_type,last_open_date,last_close_date,is_active,source_slug,research_notes,source_urls,dedupe_rationale
Pasig City Regular Academic Scholarship,Pasig City Government,gemini_research,https://scholars.pasigcity.gov.ph,"The Pasig City Regular Academic Scholarship is designed for residents of Pasig City who demonstrate high academic performance and are enrolled in recognized higher education institutions. This program provides comprehensive tuition assistance and stipends to support college education for local youths. Applicants must maintain a minimum GWA of 85% or equivalent, with no grade lower than 85% in any subject. Eligibility requires presenting a valid Pasig City LGU ID or Barangay Certificate of Residency proving at least 3 years of residency, and registered voter status for parents or applicants of legal age. Application steps involve registering online via the official Pasig Scholarship portal, uploading scanned requirements, and attending an orientation once approved. Highly recurring cycle opening every first semester of the academic year. Financial need is factored via an annual family income cap of 300,000 PHP.",LGU,Merit-and-Need,College,NCR,Pasig,true,Public|Private,STEM|Engineering|IT|Education|Medical|Business|Agriculture|Arts,All accredited undergraduate degrees,300000,85,,,4Ps|Listahanan,true,1500,true,25000,BARANGAY_CERT|BIRTH_CERT|GOOD_MORAL|TOR,true,true,false,false,2026-07-01,2026-08-15,2026-2027,annual,2025-07-05,2025-08-20,true,pasig_city_regular_academic_2026,application_status=opening_soon | confidence=high | link_quality=primary,https://scholars.pasigcity.gov.ph|https://assets.pasigcity.gov.ph,Net-new LGU program specific to Pasig City residents not present in Round 1.
Pasig City Sports Scholarship,Pasig City Government,gemini_research,https://scholars.pasigcity.gov.ph,"The Pasig City Sports Scholarship caters to outstanding student-athletes who have represented Pasig City or their schools in regional, national, or international athletic competitions. It aims to support athletes in balancing academic progression with rigorous athletic training. Eligibility includes verified residency in Pasig City for 3 years, a minimum GWA of 80% to ensure academic compliance, and official endorsements from the Pasig Sports Development Office. Financial aid covers partial tuition and a monthly training stipend. Renewal requires active sports participation and maintaining passing marks. Portal registrations open annually in August.",LGU,Affiliation,College|Grade 11|Grade 12,NCR,Pasig,true,Public|Private,STEM|Engineering|IT|Education|Medical|Business|Agriculture|Arts,All courses,350000,80,,,Student Athletes,true,2000,true,30000,BARANGAY_CERT|BIRTH_CERT|FORM_137,false,true,false,false,2026-08-01,2026-09-10,2026-2027,annual,2025-08-05,2025-09-15,true,pasig_city_sports_scholarship_2026,application_status=recurring_unopened | confidence=high | link_quality=primary,https://scholars.pasigcity.gov.ph,Distinct athletic-based track with separate funding and GWA criteria from Pasig Regular.
Pasig City Arts and Design Scholarship,Pasig City Government,gemini_research,https://scholars.pasigcity.gov.ph,"This dedicated track supports creative individuals residing in Pasig City who pursue fields in fine arts, digital design, music, performing arts, or literature. Eligible applicants must showcase a portfolio or pass a talent audition managed by the Pasig Cultural Affairs Office. Academic requirements are set at a minimum GWA of 80%. Benefits include school fees financial aid and materials allowances. Registration is completed through the online portal, followed by an in-person portfolio review.",LGU,Affiliation,College|Grade 11|Grade 12,NCR,Pasig,true,Public|Private,Arts,Fine Arts|Digital Design|Music|Performing Arts,350000,80,,,Artists and Creatives,true,1500,true,28000,BARANGAY_CERT|BIRTH_CERT|FORM_137|ESSAY,true,true,true,false,2026-08-01,2026-09-10,2026-2027,annual,2025-08-05,2025-09-15,true,pasig_city_arts_design_2026,application_status=recurring_unopened | confidence=high | link_quality=primary,https://scholars.pasigcity.gov.ph,Targeted LGU creative arts track absent from the baseline document.
Pasig City Out-of-School Learners Scholarship,Pasig City Government,gemini_research,https://scholars.pasigcity.gov.ph,"Designed specifically for out-of-school youths (OSYs) and adult learners in Pasig City who want to reintegrate into formal education, alternative learning systems (ALS), or technical-vocational (TVET) paths. Funded fully by the LGU, this program waives instructional fees and provides a substantial monthly allowance to cover daily transport and meal costs. Eligibility includes a minimum of 1 year of non-enrollment in school and a family income below 200,000 PHP. Applications are accepted directly through the Pasig Scholarship Office or Barangay halls.",LGU,Need,TVET|College,NCR,Pasig,true,Public|Private,STEM|Engineering|IT|Education|Medical|Business|Agriculture|Arts,ALS and TVET short courses,200000,75,,,Out of School Youth,true,2500,true,35000,BARANGAY_CERT|BIRTH_CERT|4PS_CERT,false,true,false,false,2026-06-15,2026-07-30,2026-2027,annual,2025-06-20,2025-07-25,true,pasig_city_osl_scholarship_2026,application_status=open | confidence=high | link_quality=primary,https://scholars.pasigcity.gov.ph|https://assets.pasigcity.gov.ph,Special social welfare track for out-of-school youth reintegration.
Pasig City Sangguniang Kabataan Endorsed Scholarship,Pasig City Government,gemini_research,https://scholars.pasigcity.gov.ph,A localized financial-aid track administered in collaboration with the Barangay Sangguniang Kabataan (SK) councils of Pasig City. This scholarship targets active community youth volunteers and leaders. Eligible applicants must possess a formal endorsement from their respective Barangay SK Chairman certifying leadership and civic engagement hours. A minimum GWA of 82% is required. Benefits comprise an annual educational subsidy disbursed in two semester installments.,LGU,Affiliation,College,NCR,Pasig,true,Public|Private,STEM|Engineering|IT|Education|Medical|Business|Agriculture|Arts,All undergraduate programs,250000,82,,,Community Leaders,false,1500,true,20000,BARANGAY_CERT|BIRTH_CERT|GOOD_MORAL,false,true,false,true,2026-07-10,2026-08-20,2026-2027,annual,2025-07-12,2025-08-25,true,pasig_city_sk_endorsed_2026,application_status=opening_soon | confidence=high | link_quality=primary,https://scholars.pasigcity.gov.ph,SK leadership affiliation-based LGU grant omitted in Round 1.
Taguig LANI Premier Scholarship,Taguig City Government,gemini_research,https://tcu.edu.ph/lani-scholarship,"The Lifeline Assistance for Neighbors in Need (LANI) Premier Scholarship is Taguig City's flagship merit track for top-tier residents studying in prestigious private universities or high-cost specialized institutions (e.g., UP, DLSU, ADMU, UST, Mapua). Applicants must be registered voters of Taguig for at least 3 years and have a minimum GWA of 90% (1.50 or better) with zero failing grades. It offers substantial financial aid up to 50,000 PHP per semester to directly cover tuition fees and modern learning tools. Applications are submitted via the Taguig LANI portal or at the Taguig Civic Center scholarship desk. Highly structured and strictly recurring every semester.",LGU,Merit-based,College,NCR,Taguig,true,Public|Private,STEM|Engineering|IT|Education|Medical|Business|Arts,Top-tier institutional degrees,600000,90,,,Top 10 Percent Graduates,true,3000,true,100000,BARANGAY_CERT|BIRTH_CERT|TOR,true,true,true,false,2026-06-20,2026-07-31,2026-2027,semester,2026-01-05,2026-02-15,true,taguig_lani_premier_2026,application_status=open | confidence=high | link_quality=primary,https://tcu.edu.ph/lani-scholarship|https://www.taguig.gov.ph,LANI flagship elite track for top private/specialized universities.
Taguig LANI Full Scholarship,Taguig City Government,gemini_research,https://tcu.edu.ph/lani-scholarship,"The LANI Full Scholarship track supports Taguig residents enrolled in private higher education institutions within or outside Metro Manila. It is designed to alleviate tuition burdens for middle-income families. Requires a minimum GWA of 85% (2.0 or better) and 3 years of verifiable city residency. Provides a flat cash assistance rate of 20,000 PHP to 25,000 PHP per semester. Renewal is contingent upon submitting semestral grade sheets confirming no failing marks. Online application processing is strictly required through the LANI desk.",LGU,Merit-and-Need,College,NCR,Taguig,true,Private,STEM|Engineering|IT|Education|Medical|Business|Agriculture|Arts,All approved degree programs,450000,85,,,Middle Income Learners,true,2000,true,50000,BARANGAY_CERT|BIRTH_CERT|TOR|ITR,false,true,false,false,2026-06-20,2026-07-31,2026-2027,semester,2026-01-05,2026-02-15,true,taguig_lani_full_2026,application_status=open | confidence=high | link_quality=primary,https://tcu.edu.ph/lani-scholarship,Standard full-tuition LANI option for private colleges; distinct criteria.
Taguig LANI Priority Scholarship,Taguig City Government,gemini_research,https://tcu.edu.ph/lani-scholarship,"This specific LANI track directly targets priority fields of study essential for national development and city workforce planning, including STEM, digital engineering, data analytics, special education, and specialized medical courses. Eligible applicants need a minimum GWA of 82%. Financial benefits are elevated compared to basic tracks, supplying up to 30,000 PHP per semester. Priority status is also given to low-income applicants, PWDs, and dependents of solo parents.",LGU,Merit-and-Need,College,NCR,Taguig,true,Public|Private,STEM|Engineering|IT|Education|Medical,STEM and Allied Medical Courses,350000,82,,,PWD|Solo Parent Dependents,true,2500,true,60000,BARANGAY_CERT|BIRTH_CERT|TOR|4PS_CERT,false,true,false,false,2026-06-20,2026-07-31,2026-2027,semester,2026-01-05,2026-02-15,true,taguig_lani_priority_2026,application_status=open | confidence=high | link_quality=primary,https://tcu.edu.ph/lani-scholarship,Course-restricted LANI track prioritizing STEM and health sciences.
Taguig LANI Basic Scholarship,Taguig City Government,gemini_research,https://tcu.edu.ph/lani-scholarship,"The LANI Basic Scholarship is a broad-access financial assistance grant for Taguig residents enrolled in non-priority programs across public or private institutions. It operates under a lower academic barrier, requiring only a passing GWA of 78% (3.0 or equivalent). It guarantees basic equity support, providing 10,000 PHP per semester to handle textbooks, uniform fees, and transportation costs. Verification of local voter registration is strictly checked during the mandatory manual verification phase.",LGU,Need,College,NCR,Taguig,true,Public|Private,STEM|Engineering|IT|Education|Medical|Business|Agriculture|Arts,All undergraduate degrees,300000,78,,,Low Income Families,false,1000,true,20000,BARANGAY_CERT|BIRTH_CERT|TOR,false,false,false,false,2026-06-20,2026-07-31,2026-2027,semester,2026-01-05,2026-02-15,true,taguig_lani_basic_2026,application_status=open | confidence=high | link_quality=primary,https://tcu.edu.ph/lani-scholarship,Low-barrier mass-equity LANI track missing from the Round 1 catalog.
Taguig LANI LCU and SUC Assistance Scholarship,Taguig City Government,gemini_research,https://tcu.edu.ph/lani-scholarship,"This scholarship is specially tailored for Taguig residents who are already utilizing the Free Higher Education law at State Universities and Colleges (SUCs) or Local Colleges and Universities (LCUs) like Taguig City University (TCU) or PUP. Since tuition is free, this track converts assistance into a pure monthly cash living stipend of 1,500 PHP plus 2,000 PHP per semester for books. Requires a GWA of 80% and zero failures. Online submission occurs via the unified TCU-LANI interface.",LGU,Merit-and-Need,College,NCR,Taguig,true,Public,STEM|Engineering|IT|Education|Medical|Business|Agriculture|Arts,SUC and LCU courses,250000,80,,,SUC|LCU Students,false,1500,true,19000,BARANGAY_CERT|TOR,false,false,false,false,2026-06-20,2026-07-31,2026-2027,semester,2026-01-05,2026-02-15,true,taguig_lani_suc_lcu_2026,application_status=open | confidence=high | link_quality=primary,https://tcu.edu.ph/lani-scholarship,Pure living stipend track tailored for students enrolled in free-tuition SUCs/LCUs.
Taguig LANI LEAD Graduate Scholarship,Taguig City Government,gemini_research,https://tcu.edu.ph/lani-scholarship,"The Leadership and Educators Advancement and Development (LEAD) program is an advanced LANI track designed for licensed teachers, city employees, and professionals residing in Taguig who are pursuing Master's or Doctorate degrees. It funds advanced research, dissertation expenses, and postgraduate tuition up to 40,000 PHP per semester. Applicants must maintain a postgrad GWA of 2.0 (85%) and submit an approved thesis proposal. Return service involves a mandatory 1-year community or institutional service within Taguig for every year of funding.",LGU,Merit-based,Graduate,NCR,Taguig,true,Public|Private,STEM|Education|Medical|Business,Master's and Doctoral Programs,750000,85,,,Public Servants and Teachers,true,2000,true,80000,BARANGAY_CERT|TOR|ESSAY,false,true,true,true,2026-05-15,2026-06-30,2026-2027,annual,2025-05-20,2025-06-28,false,taguig_lani_lead_grad_2026,application_status=closed_reference | confidence=high | link_quality=primary,https://tcu.edu.ph/lani-scholarship,Postgraduate LANI track with strict return service rules; completely net-new.
Taguig Lifeline Bar and Board Review Assistance,Taguig City Government,gemini_research,https://tcu.edu.ph/lani-scholarship,"A specialized, one-time financial grant for Taguig residents who have completed their undergraduate degrees in Law, Engineering, Nursing, Accountancy, or Education and are preparing for professional licensure examinations (PRC Board Exams or Supreme Court Bar Exam). Provides a lump-sum financial grant of 15,000 PHP to 30,000 PHP to pay for review center enrollments and examination fees. Requires graduation proof, a certification from an official review center, and voter verification. No GWA check is enforced post-graduation.",LGU,Affiliation,Graduate|College,NCR,Taguig,true,Public|Private,STEM|Engineering|Education|Medical|Business,Board or Bar review courses,600000,,,,Board Exam Takers,false,,true,30000,BARANGAY_CERT|BIRTH_CERT|TOR,false,false,false,false,2026-04-01,2026-05-30,2026-2027,rolling,2025-04-05,2025-05-28,false,taguig_lifeline_review_2026,application_status=closed_reference | confidence=high | link_quality=primary,https://tcu.edu.ph/lani-scholarship,"Short-term, one-time post-graduate professional licensure assistance track."
